Instance;mean my-heuristic;median my-heuristic;mean cs2sar;median cs2sar;p-value less;p-value greater;holm less;holm greater
rl5934_n59330_bounded-strongly-corr_03.ttp;8541488.4;8544450.5;8541751.6;8534172.5;0.63031782459027;0.397968130940267;1;1
rl5934_n59330_bounded-strongly-corr_07.ttp;13211625.8;13211626;13159051.3;13211589;0.998596718881204;0.0017926426839369;1;0.182849553761564
rl5934_n59330_uncorr-similar-weights_03.ttp;3992925.9;4012678.5;3970719.5;4012665.5;0.955633599743369;0.0519247908984872;1;1
rl5934_n59330_uncorr-similar-weights_07.ttp;6640520.9;6634198;6530041.3;6530038.5;0.99545878666618;0.00564947595913496;1;0.553648643995226
rl5934_n59330_uncorr_03.ttp;5880401.3;5880621;5847992.3;5879479;0.995936487673545;0.00506843383928742;1;0.501774950089454
rl5934_n59330_uncorr_07.ttp;8166655;8165501;8096510.3;8162368.5;0.998207357316063;0.00227792690292961;1;0.23007061719589
u159_n1580_bounded-strongly-corr_03.ttp;191418;191418.5;189585.2;189585.5;0.999943935003809;7.64739120593229e-05;1;0.00896356598109298
u159_n1580_bounded-strongly-corr_07.ttp;310147.3;310148;310146.9;310147;0.904290787381196;0.110335680959923;1;1
u159_n1580_uncorr-similar-weights_03.ttp;92969;92969;92969;92969;1;1;1;1
u159_n1580_uncorr-similar-weights_07.ttp;164053.8;164054;161560.9;161561;0.99998342739376;2.36570363020469e-05;1;0.00298078657405791
u159_n1580_uncorr_03.ttp;153849.9;153850;153849.8;153850;0.557682165731319;0.5;1;1
u159_n1580_uncorr_07.ttp;195596.3;195596;196795.9;196796;2.86032121841683e-05;0.999979814069814;0.00354679831083687;1
u159_n474_bounded-strongly-corr_03.ttp;58162.1;58202.5;58202.5;58202.5;0.432284650843371;0.600963138921337;1;1
u159_n474_bounded-strongly-corr_07.ttp;102283;102285;101878;101878;0.999988638140412;1.64496840293246e-05;1;0.00208910987172422
u159_n474_uncorr-similar-weights_03.ttp;32430;32430;32430;32430;1;1;1;1
u159_n474_uncorr-similar-weights_07.ttp;47371;47371;47371;47371;1;1;1;1
u159_n474_uncorr_03.ttp;45214;45214;45214;45214;1;1;1;1
u159_n474_uncorr_07.ttp;59216;59216;60786;60786;7.96895584403313e-06;0.999994649172805;0.00105190217141237;1
